"author/blue_verified","author/can_dm","author/description","author/image","author/name","author/rest_id","author/screen_name","author/sub_count","bookmarks","conversation_id","created_at","display_text","entities","entities/hashtags/0/indices/0","entities/hashtags/0/indices/1","entities/hashtags/0/text","entities/hashtags/1/indices/0","entities/hashtags/1/indices/1","entities/hashtags/1/text","entities/hashtags/2/indices/0","entities/hashtags/2/indices/1","entities/hashtags/2/text","entities/hashtags/3/indices/0","entities/hashtags/3/indices/1","entities/hashtags/3/text","entities/media/0/display_url","entities/media/0/expanded_url","entities/media/0/ext_alt_text","entities/media/0/ext_media_availability/status","entities/media/0/features/large/faces/0/h","entities/media/0/features/large/faces/0/w","entities/media/0/features/large/faces/0/x","entities/media/0/features/large/faces/0/y","entities/media/0/features/large/faces/1/h","entities/media/0/features/large/faces/1/w","entities/media/0/features/large/faces/1/x","entities/media/0/features/large/faces/1/y","entities/media/0/features/medium/faces/0/h","entities/media/0/features/medium/faces/0/w","entities/media/0/features/medium/faces/0/x","entities/media/0/features/medium/faces/0/y","entities/media/0/features/medium/faces/1/h","entities/media/0/features/medium/faces/1/w","entities/media/0/features/medium/faces/1/x","entities/media/0/features/medium/faces/1/y","entities/media/0/features/orig/faces/0/h","entities/media/0/features/orig/faces/0/w","entities/media/0/features/orig/faces/0/x","entities/media/0/features/orig/faces/0/y","entities/media/0/features/orig/faces/1/h","entities/media/0/features/orig/faces/1/w","entities/media/0/features/orig/faces/1/x","entities/media/0/features/orig/faces/1/y","entities/media/0/features/small/faces/0/h","entities/media/0/features/small/faces/0/w","entities/media/0/features/small/faces/0/x","entities/media/0/features/small/faces/0/y","entities/media/0/features/small/faces/1/h","entities/media/0/features/small/faces/1/w","entities/media/0/features/small/faces/1/x","entities/media/0/features/small/faces/1/y","entities/media/0/id_str","entities/media/0/indices/0","entities/media/0/indices/1","entities/media/0/media_key","entities/media/0/media_results/result/media_key","entities/media/0/media_url_https","entities/media/0/original_info/focus_rects/0/h","entities/media/0/original_info/focus_rects/0/w","entities/media/0/original_info/focus_rects/0/x","entities/media/0/original_info/focus_rects/0/y","entities/media/0/original_info/focus_rects/1/h","entities/media/0/original_info/focus_rects/1/w","entities/media/0/original_info/focus_rects/1/x","entities/media/0/original_info/focus_rects/1/y","entities/media/0/original_info/focus_rects/2/h","entities/media/0/original_info/focus_rects/2/w","entities/media/0/original_info/focus_rects/2/x","entities/media/0/original_info/focus_rects/2/y","entities/media/0/original_info/focus_rects/3/h","entities/media/0/original_info/focus_rects/3/w","entities/media/0/original_info/focus_rects/3/x","entities/media/0/original_info/focus_rects/3/y","entities/media/0/original_info/focus_rects/4/h","entities/media/0/original_info/focus_rects/4/w","entities/media/0/original_info/focus_rects/4/x","entities/media/0/original_info/focus_rects/4/y","entities/media/0/original_info/height","entities/media/0/original_info/width","entities/media/0/sizes/large/h","entities/media/0/sizes/large/resize","entities/media/0/sizes/large/w","entities/media/0/sizes/medium/h","entities/media/0/sizes/medium/resize","entities/media/0/sizes/medium/w","entities/media/0/sizes/small/h","entities/media/0/sizes/small/resize","entities/media/0/sizes/small/w","entities/media/0/sizes/thumb/h","entities/media/0/sizes/thumb/resize","entities/media/0/sizes/thumb/w","entities/media/0/type","entities/media/0/url","entities/media/0/video_info/aspect_ratio/0","entities/media/0/video_info/aspect_ratio/1","entities/media/0/video_info/variants/0/bitrate","entities/media/0/video_info/variants/0/content_type","entities/media/0/video_info/variants/0/url","entities/urls/0/display_url","entities/urls/0/expanded_url","entities/urls/0/indices/0","entities/urls/0/indices/1","entities/urls/0/url","entities/user_mentions/0/id_str","entities/user_mentions/0/indices/0","entities/user_mentions/0/indices/1","entities/user_mentions/0/name","entities/user_mentions/0/screen_name","entities/user_mentions/1/id_str","entities/user_mentions/1/indices/0","entities/user_mentions/1/indices/1","entities/user_mentions/1/name","entities/user_mentions/1/screen_name","entities/user_mentions/2/id_str","entities/user_mentions/2/indices/0","entities/user_mentions/2/indices/1","entities/user_mentions/2/name","entities/user_mentions/2/screen_name","id","lang","likes","media/photo/0/id","media/photo/0/media_url_https","media/video/0/aspect_ratio/0","media/video/0/aspect_ratio/1","media/video/0/duration","media/video/0/id","media/video/0/media_url_https","media/video/0/original_info/height","media/video/0/original_info/width","media/video/0/variants/0/bitrate","media/video/0/variants/0/content_type","media/video/0/variants/0/url","quotes","replies","retweets","status","text","views"
"false","true","3 Spotify Albums; Contributor to Idiot’s Guide to Jokes & The Howard Stern Show; LIKE2LAUGH Hilarity since 2003; Creator/Host of World’s 1st Online Comedy Club","https://pbs.twimg.com/profile_images/1557789500251725825/qsSJrsKk_normal.jpg","Josh Filipowski","17030888","funnyflips","1205","0","1492528962932781060","Sat Feb 12 16:24:57 +0000 2022","And natural immunity- yes! I enhanced your chart, so everyone can see that better:",,,,,,,,,,,,,,"pic.x.com/zcQcDcGNOe","https://x.com/funnyflips/status/1492535206515036162/photo/1",,"Available",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"1492534873508265986","91","114","3_1492534873508265986","3_1492534873508265986","https://pbs.twimg.com/media/FLaMj0ZXwAId3cR.jpg","664","1185","0","26","690","690","336","0","690","605","379","0","690","345","509","0","690","1185","0","0","690","1185","690","fit","1185","690","fit","1185","396","fit","680","150","crop","150","photo","https://t.co/zcQcDcGNOe",,,,,,,,,,,"146569971","0","7","CDC","CDCgov",,,,,,,,,,,"1492535206515036162","en","19","1492534873508265986","https://pbs.twimg.com/media/FLaMj0ZXwAId3cR.jpg",,,,,,,,,,,"0","2","3","active","@CDCgov And natural immunity- yes! I enhanced your chart, so everyone can see that better: https://t.co/zcQcDcGNOe",
"false","false","Just a guy who thinks outside of your ideological box.","https://pbs.twimg.com/profile_images/865583491467026434/8tO8y5wt_normal.jpg","David Harper 🇺🇸","1431245234","davidrrt1","101","0","1492528962932781060","Sat Feb 12 17:07:59 +0000 2022","Omicron was never severe to begin with.  For me it was just a bad cold.  I consider omicron my booster after vaxing twice.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"146569971","0","7","CDC","CDCgov",,,,,,,,,,,"1492546034748346374","en","13",,,,,,,,,,,,,"0","1","0","active","@CDCgov Omicron was never severe to begin with.  For me it was just a bad cold.  I consider omicron my booster after vaxing twice.",
"false","false","","https://pbs.twimg.com/profile_images/1469330289314910217/FtWpPkHp_normal.jpg","i have questions","1469327086775156746","AlishaR21293641","10","0","1492528962932781060","Sat Feb 12 19:14:17 +0000 2022","My son caught covid twice and he is fine",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"146569971","0","7","CDC","CDCgov",,,,,,,,,,,"1492577817829195783","en","10",,,,,,,,,,,,,"0","0","0","active","@CDCgov My son caught covid twice and he is fine",
"false","true","Dallas Cowboys Super bowl champs or bust","https://pbs.twimg.com/profile_images/1581778099175399426/lSmPU816_normal.jpg","Nate K.","958342292284243968","signparsonsjr","129","0","1492528962932781060","Sat Feb 12 17:07:27 +0000 2022","Keep up the vaccines &amp; boosters we can still beat this.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"146569971","0","7","CDC","CDCgov",,,,,,,,,,,"1492545902564810756","en","5",,,,,,,,,,,,,"0","7","0","active","@CDCgov Keep up the vaccines &amp; boosters we can still beat this.",
"false","false","","https://pbs.twimg.com/profile_images/1480793906425962496/Hl6-62Tx_normal.jpg","Liz Lawler","1472281977432670212","LizLawler3","112","0","1492528962932781060","Sat Feb 12 16:25:37 +0000 2022","And the other parts are?? Perhaps natural immunity, treatments and a weaker virus?",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"146569971","0","7","CDC","CDCgov",,,,,,,,,,,"1492535370730250242","en","2",,,,,,,,,,,,,"0","0","0","active","@CDCgov And the other parts are?? Perhaps natural immunity, treatments and a weaker virus?",
"false","false","duplicate","https://pbs.twimg.com/profile_images/1596917849662328838/s1Fkhlv8_normal.png","duplicate","1254787318646370313","GatesGratitude","0","0","1492528962932781060","Sat Feb 12 16:31:20 +0000 2022","Bs it gets less vigilant as it passes do not fall for this skip these dangerous injections",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"146569971","0","7","CDC","CDCgov",,,,,,,,,,,"1492536809774927872","en","4",,,,,,,,,,,,,"0","0","0","active","@CDCgov Bs it gets less vigilant as it passes do not fall for this skip these dangerous injections",
"false","false","","https://pbs.twimg.com/profile_images/1488966356305211392/LVgQfGdE_normal.jpg","Linda Sapolsky","2310169135","LindaSapolskyCA","11","0","1492528962932781060","Sun Feb 13 23:05:10 +0000 2022","Please unmask my kids in school",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"146569971","0","7","CDC","CDCgov",,,,,,,,,,,"1492998309232865280","en","2",,,,,,,,,,,,,"0","0","0","active","@CDCgov Please unmask my kids in school",
"false","false","I’m Intensivist have long time experience in ICU management","https://pbs.twimg.com/profile_images/1471831478904442887/-Hgp9efN_normal.jpg","Masoud Mousavinasab","1471831210808778755","MMousavinasab1","2","0","1492528962932781060","Sat Feb 12 20:30:51 +0000 2022","We see severe cases in the patients who didn’t got their vaccinations and booster. Also in elderly vulnerable populations.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"146569971","0","7","CDC","CDCgov",,,,,,,,,,,"1492597088181530624","en","2",,,,,,,,,,,,,"0","1","0","active","@CDCgov We see severe cases in the patients who didn’t got their vaccinations and booster. Also in elderly vulnerable populations.",
"false","true","🌎 🌏 advisors, human affairs,  space, new materials, autonomous systems, intelligence","https://pbs.twimg.com/profile_images/2038149374577123328/7jaqBOyD_normal.jpg","FUTURE","747843628869922816","FUTURENEWS2020","8782","0","1492528962932781060","Sun Feb 13 16:07:46 +0000 2022","More people die now over 3k/day and are sick with 250M vaccinated",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"146569971","0","7","CDC","CDCgov",,,,,,,,,,,"1492893267339341826","en","3",,,,,,,,,,,,,"0","0","0","active","@CDCgov More people die now over 3k/day and are sick with 250M vaccinated",
"false","false","","https://pbs.twimg.com/profile_images/1289695646639747073/2jjpYlMt_normal.jpg","tumbleweed_5","1288489093425291264","tumbleweed_5","50","0","1492528962932781060","Sat Feb 12 16:58:27 +0000 2022","And due to it being a milder version.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"146569971","0","7","CDC","CDCgov",,,,,,,,,,,"1492543634746396672","en","1",,,,,,,,,,,,,"0","0","0","active","@CDCgov And due to it being a milder version.",
