row_id,cdc_post_id,created_at,comment_id,lang,text,period,label
3856,1257340333031120900,Tue May 05 05:21:54 +0000 2020,1257541006540464128,en,"@CDCgov @FLOTUS An internal #Trump administration report expects about 200,000 daily cases by June. The #WhiteHouse bars #coronavirus task force officials from testifying to Congress without approval.
https://t.co/uMnmKnRQrK",period_1,neutral
168,1481333160218669056,Wed Jan 12 20:21:37 +0000 2022,1481360741643034633,en,@CDCgov And how are we supposed to keep kids safe who are under five huh??? Or did that bribe from delta airlines make you forget that,period_3,critical
1573,1505218795937447939,Sun Mar 20 22:16:27 +0000 2022,1505669626134421505,en,@CDCgov ( .... I just wanna be a crack dealer but like a nice one ummm like do u wanna  to buy sum crack ??.... ),period_3,neutral
3680,1253085285161803777,Sat Apr 25 15:33:03 +0000 2020,1254070927534387200,en,@CDCgov @realDonaldTrump I curious which counties and which states. https://t.co/pR1c5Bf7tN,period_1,neutral
1331,1493661419274919936,Tue Feb 15 23:16:31 +0000 2022,1493725940848996352,en,@CDCgov @CDCMMWR And guess which vaccine is the only one with data on the Omicron showing it works? Covaxin! Approve it already! #IchooseCOVAXIN #COVAXIN @fda @DrWoodcockFDA,period_3,critical
3506,1298728989796827137,Sat Aug 29 03:47:35 +0000 2020,1299554261081227265,en,@CDCgov ONCE A TRUSTY AMERICAN AGENCY NOW IN RUINS DUE TO TRUMP. WHO DO WE TRUST NOW.? THE WHITE HOUSE?,period_1,critical
519,1498387536032399361,Mon Feb 28 21:43:08 +0000 2022,1498413483930570754,en,@CDCgov Can you provide current miscarriage data to backup this lie? Didn't think so.,period_3,critical
3177,1336785273548632064,Thu Dec 10 23:37:53 +0000 2020,1337179763820081154,en,"@CDCgov SO THEN HOW THE HELL ARE CORONAVIRUS CASES SKYROCKETING WHEN PEOPLE ARE ALL WEARING MASKS,  PHYSICALLY DISTANCING AND STAYING HOME ?",period_1,critical
407,1498387536032399361,Mon Feb 28 20:03:26 +0000 2022,1498388393255911425,en,"@CDCgov just fyi dr __________ md is redundant 

you’re either dr _________ or _________ md",period_3,neutral
2602,1422625070837604353,Tue Aug 03 19:38:19 +0000 2021,1422643007535321094,en,@CDCgov Why get vaccinated if it's not going to prevent you from getting it? Makes no sense,period_2,critical
2466,1454537846845476871,Mon Nov 01 00:14:31 +0000 2021,1454965035260735490,en,"@CDCgov Can anybody tell me why we have to wear masks when we are vaccinated? I get it you can still spread it and catch it ,but they claim that we are safe from hospitalization and death so why are we so scared that we're still wearing mask when we have a vaccine to protect?",period_2,neutral
3806,1257340333031120900,Wed May 06 19:56:07 +0000 2020,1258123396820451328,en,@CDCgov @FLOTUS Typo:   Your husband does not want you to stay home.,period_1,neutral
3299,1242915042049351682,Fri Mar 27 04:51:28 +0000 2020,1243400220701933570,en,"@CDCgov On Thursday, we hit a grim watershed. The US overtook Italy and China as the country with the highest number of confirmed Covid-19 cases. This is a dire crisis and an extraordinary failure. https://t.co/5w8fSaEk4o",period_1,critical
2339,1423346832730738691,Fri Aug 06 08:16:03 +0000 2021,1423558475695677444,en,@CDCgov Nope,period_2,critical
2665,1422625070837604353,Sat Aug 07 08:53:21 +0000 2021,1423930248199032834,en,@CDCgov everett curry,period_2,neutral
2919,1238841061277040640,Sat Mar 14 22:59:53 +0000 2020,1238963086675107840,en,@CDCgov You mean the world war III?,period_1,neutral
2903,1238841061277040640,Sun Mar 15 20:11:24 +0000 2020,1239283075470757889,en,@CDCgov @MedicareGov Many at highest risk of contracting #COVID19 are #Medicare patients. The bill signed over a week ago allows @CMSGov to relax Medicare restrictions on #telehealth. But it hasn't yet done so. These patients need to be able to use telehealth - and phone calls - for mental health NOW,period_1,neutral
3949,1343663097756741633,Wed Dec 30 15:41:27 +0000 2020,1344307620014936065,en,@CDCgov We CAN do it but so many people are just so stupid or lazy they can't seem to make it happen.,period_1,neutral
1848,1491849512893267971,Fri Feb 11 20:04:27 +0000 2022,1492228056425005061,en,@CDCgov My unvaccinated wife was literally hiking after 4 days after 2 days in bed. My kids only a running nose and light fever. The same story for a lot friends. Only gotten sick after the vaccine. Very weird. The narrative is BS. Big Pharma made $$$$ already. Let’s move on(2/2),period_3,critical
2082,1475587321277956096,Tue Dec 28 02:55:52 +0000 2021,1475661750754185219,en,@CDCgov We don’t need this. What we need is data &amp; statistics of people who recovered from natural immunity. There’s should be a group of people who got infected. Vaccinated &amp; natural immunity. You all want to give the credits to the vaccine. What happened to the convention flu ?,period_2,critical
1487,1495115983865974796,Sat Feb 19 20:13:51 +0000 2022,1495129524085964805,en,@CDCgov Why doesn’t the @CDCgov change the definition of FULLY VACCINATED to having 3 shots?,period_3,neutral
4091,1310990987058188289,Tue Sep 29 17:14:56 +0000 2020,1310991461228466176,en,@CDCgov @CDCMMWR *healthcare workers preparing for the second wave* https://t.co/bX2BMkzl6Q,period_1,neutral
426,1498387536032399361,Tue Jun 13 15:56:38 +0000 2023,1668648579781603331,en,@CDCgov Big business💰.,period_3,critical
